date,month,year,axis,origin,destination,number_of_trains_scheduled,number_of_train_canceled,trains_late_at_destination,number_of_trains_actual,percentage_trains_canceled,reliability,line
2018-03,3,2018,National,brest,paris,266.0,6.0,11.0,260.0,2.26,95.8,brest:paris
2018-03,3,2018,National,la-rochelle-ville,paris,221.0,5.0,26.0,216.0,2.26,88.0,la-rochelle-ville:paris
2018-03,3,2018,National,paris,poitiers,507.0,14.0,56.0,493.0,2.76,88.6,paris:poitiers
2018-03,3,2018,National,paris,quimper,265.0,5.0,19.0,260.0,1.89,92.7,paris:quimper
2018-03,3,2018,National,quimper,paris,260.0,5.0,13.0,255.0,1.92,94.9,quimper:paris
2018-03,3,2018,National,reims,paris,221.0,5.0,36.0,216.0,2.26,83.3,reims:paris
2018-03,3,2018,National,paris,strasbourg,493.0,20.0,74.0,473.0,4.06,84.4,paris:strasbourg
2018-03,3,2018,National,strasbourg,nantes,32.0,1.0,5.0,31.0,3.12,83.9,strasbourg:nantes
2018-03,3,2018,National,paris,dunkerque,285.0,14.0,39.0,271.0,4.91,85.6,paris:dunkerque
2018-03,3,2018,National,paris,lille,637.0,25.0,130.0,612.0,3.92,78.8,paris:lille
2018-03,3,2018,National,paris,bordeaux-st-jean,55.0,0.0,6.0,55.0,0.0,89.1,paris:bordeaux-st-jean
2018-03,3,2018,National,lyon,marne-la-vallee,307.0,11.0,61.0,296.0,3.58,79.4,lyon:marne-la-vallee
2018-03,3,2018,National,marne-la-vallee,marseille-st-charles,331.0,7.0,52.0,324.0,2.11,84.0,marne-la-vallee:marseille-st-charles
2018-03,3,2018,National,paris,aix-en-provence,430.0,9.0,37.0,421.0,2.09,91.2,paris:aix-en-provence
2018-03,3,2018,National,aix-en-provence,paris,396.0,8.0,39.0,388.0,2.02,89.9,aix-en-provence:paris
2018-03,3,2018,National,besancon-franche-comte,paris,203.0,5.0,19.0,198.0,2.46,90.4,besancon-franche-comte:paris
2018-03,3,2018,National,paris,dijon-ville,443.0,11.0,28.0,432.0,2.48,93.5,paris:dijon-ville
2018-03,3,2018,National,dijon-ville,paris,451.0,8.0,45.0,443.0,1.77,89.8,dijon-ville:paris
2018-03,3,2018,National,lyon,paris,664.0,11.0,56.0,653.0,1.66,91.4,lyon:paris
2018-03,3,2018,National,paris,montpellier,296.0,7.0,33.0,289.0,2.36,88.6,paris:montpellier
2018-03,3,2018,National,mulhouse-ville,paris,323.0,4.0,37.0,319.0,1.24,88.4,mulhouse-ville:paris
2018-03,3,2018,National,nimes,paris,343.0,8.0,53.0,335.0,2.33,84.2,nimes:paris
2018-03,3,2018,National,paris,saint-etienne-chateaucreux,118.0,4.0,12.0,114.0,3.39,89.5,paris:saint-etienne-chateaucreux
2018-03,3,2018,National,paris,toulon,235.0,12.0,47.0,223.0,5.11,78.9,paris:toulon
2018-03,3,2018,National,valence-alixan,paris,285.0,9.0,41.0,276.0,3.16,85.1,valence-alixan:paris
2018-03,3,2018,International,paris,zurich,152.0,1.0,22.0,151.0,0.66,85.4,paris:zurich
2018-03,3,2018,National,paris,angers-saint-laud,386.0,6.0,49.0,380.0,1.55,87.1,paris:angers-saint-laud
2018-03,3,2018,National,angouleme,paris,273.0,13.0,44.0,260.0,4.76,83.1,angouleme:paris
2018-03,3,2018,National,paris,bordeaux-st-jean,760.0,27.0,80.0,733.0,3.55,89.1,paris:bordeaux-st-jean
2018-03,3,2018,National,paris,nantes,512.0,13.0,50.0,499.0,2.54,90.0,paris:nantes
2018-03,3,2018,National,rennes,paris,586.0,17.0,115.0,569.0,2.9,79.8,rennes:paris
2018-03,3,2018,National,metz,paris,305.0,10.0,76.0,295.0,3.28,74.2,metz:paris
2018-03,3,2018,National,paris,nancy,300.0,13.0,31.0,287.0,4.33,89.2,paris:nancy
2018-03,3,2018,National,nancy,paris,305.0,11.0,40.0,294.0,3.61,86.4,nancy:paris
2018-03,3,2018,National,paris,douai,213.0,8.0,39.0,205.0,3.76,81.0,paris:douai
2018-03,3,2018,National,marseille-st-charles,lille,189.0,5.0,38.0,184.0,2.65,79.3,marseille-st-charles:lille
2018-03,3,2018,National,lille,marseille-st-charles,187.0,5.0,36.0,182.0,2.67,80.2,lille:marseille-st-charles
2018-03,3,2018,National,bordeaux-st-jean,paris,60.0,0.0,4.0,60.0,0.0,93.3,bordeaux-st-jean:paris
2018-03,3,2018,National,nantes,paris,61.0,0.0,7.0,61.0,0.0,88.5,nantes:paris
2018-03,3,2018,National,paris,bellegarde-(ain),226.0,3.0,38.0,223.0,1.33,83.0,paris:bellegarde-(ain)
2018-03,3,2018,National,bellegarde-(ain),paris,254.0,3.0,35.0,251.0,1.18,86.1,bellegarde-(ain):paris
2018-03,3,2018,National,paris,le-creusot-montceau-montchanin,208.0,0.0,34.0,208.0,0.0,83.7,paris:le-creusot-montceau-montchanin
2018-03,3,2018,National,paris,macon-loche,224.0,5.0,19.0,219.0,2.23,91.3,paris:macon-loche
2018-03,3,2018,National,macon-loche,paris,217.0,2.0,36.0,215.0,0.92,83.3,macon-loche:paris
2018-03,3,2018,National,marseille-st-charles,paris,432.0,9.0,40.0,423.0,2.08,90.5,marseille-st-charles:paris
2018-03,3,2018,National,montpellier,paris,340.0,8.0,40.0,332.0,2.35,88.0,montpellier:paris
2018-03,3,2018,National,paris,nice-ville,203.0,10.0,33.0,193.0,4.93,82.9,paris:nice-ville
2018-03,3,2018,International,paris,francfort,86.0,2.0,36.0,84.0,2.33,57.1,paris:francfort
2018-03,3,2018,International,paris,lausanne,149.0,1.0,12.0,148.0,0.67,91.9,paris:lausanne
2018-03,3,2018,International,barcelona,paris,58.0,0.0,9.0,58.0,0.0,84.5,barcelona:paris
2018-03,3,2018,International,paris,barcelona,61.0,0.0,13.0,61.0,0.0,78.7,paris:barcelona
2018-03,3,2018,National,paris,angouleme,238.0,7.0,37.0,231.0,2.94,84.0,paris:angouleme
2018-03,3,2018,National,paris,st-pierre-des-corps,389.0,17.0,69.0,372.0,4.37,81.5,paris:st-pierre-des-corps
2018-03,3,2018,National,paris,tours,191.0,8.0,38.0,183.0,4.19,79.2,paris:tours
2018-03,3,2018,National,lyon,rennes,97.0,1.0,18.0,96.0,1.03,81.2,lyon:rennes
2018-03,3,2018,National,paris,metz,311.0,13.0,46.0,298.0,4.18,84.6,paris:metz
2018-03,3,2018,National,paris,reims,220.0,6.0,22.0,214.0,2.73,89.7,paris:reims
2018-03,3,2018,National,lille,lyon,308.0,11.0,56.0,297.0,3.57,81.1,lille:lyon
2018-03,3,2018,National,bordeaux-st-jean,tourcoing,30.0,0.0,4.0,30.0,0.0,86.7,bordeaux-st-jean:tourcoing
2018-03,3,2018,National,paris,nantes,58.0,0.0,5.0,58.0,0.0,91.4,paris:nantes
2018-03,3,2018,National,paris,rennes,29.0,0.0,2.0,29.0,0.0,93.1,paris:rennes
2018-03,3,2018,National,tourcoing,marseille-st-charles,31.0,0.0,3.0,31.0,0.0,90.3,tourcoing:marseille-st-charles
2018-03,3,2018,National,avignon,paris,529.0,13.0,83.0,516.0,2.46,83.9,avignon:paris
2018-03,3,2018,National,paris,chambery-challes-les-eaux,271.0,3.0,40.0,268.0,1.11,85.1,paris:chambery-challes-les-eaux
2018-03,3,2018,National,grenoble,paris,251.0,5.0,31.0,246.0,1.99,87.4,grenoble:paris
2018-03,3,2018,National,le-creusot-montceau-montchanin,paris,225.0,1.0,38.0,224.0,0.44,83.0,le-creusot-montceau-montchanin:paris
2018-03,3,2018,National,nice-ville,paris,196.0,7.0,26.0,189.0,3.57,86.2,nice-ville:paris
2018-03,3,2018,National,paris,nimes,299.0,7.0,37.0,292.0,2.34,87.3,paris:nimes
2018-03,3,2018,National,toulon,paris,276.0,11.0,36.0,265.0,3.99,86.4,toulon:paris
2018-03,3,2018,National,lyon,montpellier,305.0,11.0,55.0,294.0,3.61,81.3,lyon:montpellier
2018-03,3,2018,National,montpellier,lyon,286.0,14.0,45.0,272.0,4.9,83.5,montpellier:lyon
2018-03,3,2018,International,stuttgart,paris,152.0,3.0,24.0,149.0,1.97,83.9,stuttgart:paris
2018-03,3,2018,International,paris,italie,95.0,1.0,20.0,94.0,1.05,78.7,paris:italie
2018-03,3,2018,International,zurich,paris,138.0,1.0,8.0,137.0,0.72,94.2,zurich:paris
2018-03,3,2018,International,madrid,marseille-st-charles,30.0,1.0,5.0,29.0,3.33,82.8,madrid:marseille-st-charles
2018-03,3,2018,International,marseille-st-charles,madrid,31.0,1.0,1.0,30.0,3.23,96.7,marseille-st-charles:madrid
2018-03,3,2018,National,angers-saint-laud,paris,389.0,6.0,70.0,383.0,1.54,81.7,angers-saint-laud:paris
2018-03,3,2018,National,paris,brest,283.0,6.0,21.0,277.0,2.12,92.4,paris:brest
2018-03,3,2018,National,paris,laval,218.0,4.0,31.0,214.0,1.83,85.5,paris:laval
2018-03,3,2018,National,le-mans,paris,406.0,7.0,97.0,399.0,1.72,75.7,le-mans:paris
2018-03,3,2018,National,paris,rennes,599.0,17.0,74.0,582.0,2.84,87.3,paris:rennes
2018-03,3,2018,National,paris,st-malo,102.0,2.0,11.0,100.0,1.96,89.0,paris:st-malo
2018-03,3,2018,National,st-malo,paris,92.0,1.0,8.0,91.0,1.09,91.2,st-malo:paris
2018-03,3,2018,National,toulouse,paris,183.0,4.0,29.0,179.0,2.19,83.8,toulouse:paris
2018-03,3,2018,National,vannes,paris,282.0,7.0,29.0,275.0,2.48,89.5,vannes:paris
2018-03,3,2018,National,rennes,lyon,93.0,0.0,5.0,93.0,0.0,94.6,rennes:lyon
2018-03,3,2018,National,strasbourg,paris,505.0,13.0,81.0,492.0,2.57,83.5,strasbourg:paris
2018-03,3,2018,National,nantes,strasbourg,41.0,1.0,4.0,40.0,2.44,90.0,nantes:strasbourg
2018-03,3,2018,National,douai,paris,212.0,8.0,63.0,204.0,3.77,69.1,douai:paris
2018-03,3,2018,National,lyon,lille,305.0,11.0,60.0,294.0,3.61,79.6,lyon:lille
2018-03,3,2018,National,marseille-st-charles,tourcoing,31.0,0.0,30.89532777978993,31.0,0.0,0.3,marseille-st-charles:tourcoing
2018-03,3,2018,National,rennes,paris,31.0,0.0,1.0,31.0,0.0,96.8,rennes:paris
2018-03,3,2018,National,tourcoing,bordeaux-st-jean,30.0,0.0,6.0,30.0,0.0,80.0,tourcoing:bordeaux-st-jean
2018-03,3,2018,National,paris,annecy,196.0,5.0,32.0,191.0,2.55,83.2,paris:annecy
2018-03,3,2018,National,paris,besancon-franche-comte,199.0,5.0,24.0,194.0,2.51,87.6,paris:besancon-franche-comte
2018-03,3,2018,National,perpignan,paris,163.0,1.0,23.0,162.0,0.61,85.8,perpignan:paris
2018-03,3,2018,National,paris,valence-alixan,325.0,7.0,37.0,318.0,2.15,88.4,paris:valence-alixan
2018-03,3,2018,National,lyon,marseille-st-charles,556.0,15.0,126.0,541.0,2.7,76.7,lyon:marseille-st-charles
2018-03,3,2018,National,marseille-st-charles,lyon,566.0,18.0,72.0,548.0,3.18,86.9,marseille-st-charles:lyon
2018-03,3,2018,International,paris,geneve,203.0,3.0,20.0,200.0,1.48,90.0,paris:geneve
2018-03,3,2018,International,italie,paris,94.0,1.0,20.0,93.0,1.06,78.5,italie:paris
2018-03,3,2018,International,lausanne,paris,141.0,1.0,15.0,140.0,0.71,89.3,lausanne:paris
2018-04,4,2018,National,brest,paris,257.0,89.0,22.0,168.0,34.63,86.9,brest:paris
2018-04,4,2018,National,la-rochelle-ville,paris,198.0,52.0,22.0,146.0,26.26,84.9,la-rochelle-ville:paris
2018-04,4,2018,National,paris,brest,257.0,89.0,24.0,168.0,34.63,85.7,paris:brest
2018-04,4,2018,National,paris,rennes,651.0,251.0,68.0,400.0,38.56,83.0,paris:rennes
2018-04,4,2018,National,rennes,lyon,93.0,36.0,10.0,57.0,38.71,82.5,rennes:lyon
2018-04,4,2018,National,tours,paris,174.0,36.0,46.0,138.0,20.69,66.7,tours:paris
2018-04,4,2018,National,metz,paris,300.0,79.0,41.0,221.0,26.33,81.4,metz:paris
2018-04,4,2018,National,paris,metz,323.0,98.0,34.0,225.0,30.34,84.9,paris:metz
2018-04,4,2018,National,strasbourg,nantes,53.0,28.0,3.0,25.0,52.83,88.0,strasbourg:nantes
2018-04,4,2018,National,paris,arras,333.0,148.0,41.0,185.0,44.44,77.8,paris:arras
2018-04,4,2018,National,paris,nantes,40.0,0.0,3.0,40.0,0.0,92.5,paris:nantes
2018-04,4,2018,National,paris,rennes,20.0,0.0,1.0,20.0,0.0,95.0,paris:rennes
2018-04,4,2018,National,aix-en-provence,paris,414.0,108.0,26.0,306.0,26.09,91.5,aix-en-provence:paris
2018-04,4,2018,National,avignon,paris,608.0,176.0,55.0,432.0,28.95,87.3,avignon:paris
2018-04,4,2018,National,grenoble,paris,235.0,81.0,15.0,154.0,34.47,90.3,grenoble:paris
2018-04,4,2018,National,lyon,marseille-st-charles,588.0,229.0,90.0,359.0,38.95,74.9,lyon:marseille-st-charles
2018-04,4,2018,National,macon-loche,paris,227.0,66.0,46.0,161.0,29.07,71.4,macon-loche:paris
2018-04,4,2018,National,marne-la-vallee,marseille-st-charles,328.0,111.0,37.0,217.0,33.84,82.9,marne-la-vallee:marseille-st-charles
2018-04,4,2018,National,marseille-st-charles,marne-la-vallee,313.0,105.0,37.0,208.0,33.55,82.2,marseille-st-charles:marne-la-vallee
2018-04,4,2018,National,marseille-st-charles,lyon,604.0,241.0,76.0,363.0,39.9,79.1,marseille-st-charles:lyon
2018-04,4,2018,National,montpellier,paris,451.0,177.0,37.0,274.0,39.25,86.5,montpellier:paris
2018-04,4,2018,National,nimes,paris,459.0,177.0,43.0,282.0,38.56,84.8,nimes:paris
2018-04,4,2018,National,paris,avignon,518.0,142.0,52.0,376.0,27.41,86.2,paris:avignon
2018-04,4,2018,National,paris,bellegarde-(ain),208.0,78.0,25.0,130.0,37.5,80.8,paris:bellegarde-(ain)
2018-04,4,2018,National,paris,besancon-franche-comte,201.0,71.0,24.0,130.0,35.32,81.5,paris:besancon-franche-comte
2018-04,4,2018,National,paris,chambery-challes-les-eaux,235.0,89.0,20.0,146.0,37.87,86.3,paris:chambery-challes-les-eaux
2018-04,4,2018,National,paris,dijon-ville,441.0,150.0,28.0,291.0,34.01,90.4,paris:dijon-ville
2018-04,4,2018,National,paris,mulhouse-ville,308.0,106.0,23.0,202.0,34.42,88.6,paris:mulhouse-ville
2018-04,4,2018,National,paris,perpignan,186.0,89.0,25.0,97.0,47.85,74.2,paris:perpignan
2018-04,4,2018,National,saint-etienne-chateaucreux,paris,81.0,18.0,5.0,63.0,22.22,92.1,saint-etienne-chateaucreux:paris
2018-04,4,2018,National,valence-alixan,paris,346.0,135.0,25.0,211.0,39.02,88.2,valence-alixan:paris
2018-04,4,2018,International,madrid,marseille-st-charles,24.0,17.0,1.0,7.0,70.83,85.7,madrid:marseille-st-charles
2018-04,4,2018,International,paris,francfort,168.0,34.0,22.0,134.0,20.24,83.6,paris:francfort
2018-04,4,2018,International,paris,italie,99.0,39.0,13.0,60.0,39.39,78.3,paris:italie
2018-04,4,2018,International,paris,barcelona,44.0,17.0,9.0,27.0,38.64,66.7,paris:barcelona
2018-04,4,2018,International,zurich,paris,146.0,41.0,11.0,105.0,28.08,89.5,zurich:paris
2018-04,4,2018,National,angouleme,paris,246.0,75.0,38.0,171.0,30.49,77.8,angouleme:paris
2018-04,4,2018,National,paris,laval,209.0,65.0,27.0,144.0,31.1,81.2,paris:laval
2018-04,4,2018,National,paris,le-mans,426.0,119.0,58.0,307.0,27.93,81.1,paris:le-mans
2018-04,4,2018,National,paris,nantes,506.0,160.0,53.0,346.0,31.62,84.7,paris:nantes
2018-04,4,2018,National,paris,poitiers,464.0,155.0,37.0,309.0,33.41,88.0,paris:poitiers
2018-04,4,2018,National,st-malo,paris,81.0,24.0,17.0,57.0,29.63,70.2,st-malo:paris
2018-04,4,2018,National,nancy,paris,321.0,89.0,21.0,232.0,27.73,90.9,nancy:paris
2018-04,4,2018,National,nantes,strasbourg,55.0,29.0,1.0,26.0,52.73,96.2,nantes:strasbourg
2018-04,4,2018,National,reims,paris,224.0,54.0,23.0,170.0,24.11,86.5,reims:paris
2018-04,4,2018,National,marseille-st-charles,tourcoing,25.0,7.0,30.89532777978993,18.0,28.0,-71.6,marseille-st-charles:tourcoing
2018-04,4,2018,National,rennes,paris,20.0,0.0,30.89532777978993,20.0,0.0,-54.5,rennes:paris
2018-04,4,2018,National,annecy,paris,191.0,72.0,29.0,119.0,37.7,75.6,annecy:paris
2018-04,4,2018,National,le-creusot-montceau-montchanin,paris,218.0,44.0,19.0,174.0,20.18,89.1,le-creusot-montceau-montchanin:paris
2018-04,4,2018,National,montpellier,lyon,308.0,136.0,42.0,172.0,44.16,75.6,montpellier:lyon
2018-04,4,2018,National,mulhouse-ville,paris,329.0,111.0,28.0,218.0,33.74,87.2,mulhouse-ville:paris
2018-04,4,2018,National,paris,aix-en-provence,461.0,134.0,37.0,327.0,29.07,88.7,paris:aix-en-provence
2018-04,4,2018,National,paris,le-creusot-montceau-montchanin,202.0,21.0,19.0,181.0,10.4,89.5,paris:le-creusot-montceau-montchanin
2018-04,4,2018,National,paris,lyon,653.0,169.0,35.0,484.0,25.88,92.8,paris:lyon
2018-04,4,2018,National,paris,marseille-st-charles,505.0,149.0,37.0,356.0,29.5,89.6,paris:marseille-st-charles
2018-04,4,2018,National,paris,montpellier,399.0,168.0,23.0,231.0,42.11,90.0,paris:montpellier
2018-04,4,2018,National,paris,nimes,405.0,168.0,26.0,237.0,41.48,89.0,paris:nimes
2018-04,4,2018,National,paris,saint-etienne-chateaucreux,109.0,43.0,9.0,66.0,39.45,86.4,paris:saint-etienne-chateaucreux
2018-04,4,2018,International,geneve,paris,215.0,76.0,13.0,139.0,35.35,90.6,geneve:paris
2018-04,4,2018,International,paris,geneve,192.0,68.0,15.0,124.0,35.42,87.9,paris:geneve
2018-04,4,2018,National,laval,paris,209.0,66.0,48.0,143.0,31.58,66.4,laval:paris
2018-04,4,2018,National,nantes,paris,522.0,155.0,51.0,367.0,29.69,86.1,nantes:paris
2018-04,4,2018,National,paris,quimper,245.0,81.0,23.0,164.0,33.06,86.0,paris:quimper
2018-04,4,2018,National,paris,tours,171.0,33.0,34.0,138.0,19.3,75.4,paris:tours
2018-04,4,2018,National,paris,nancy,322.0,95.0,17.0,227.0,29.5,92.5,paris:nancy
2018-04,4,2018,National,paris,reims,226.0,54.0,21.0,172.0,23.89,87.8,paris:reims
2018-04,4,2018,National,douai,paris,191.0,68.0,34.0,123.0,35.6,72.4,douai:paris
2018-04,4,2018,National,lille,lyon,299.0,100.0,23.0,199.0,33.44,88.4,lille:lyon
2018-04,4,2018,National,bordeaux-st-jean,paris,56.0,14.0,6.0,42.0,25.0,85.7,bordeaux-st-jean:paris
2018-04,4,2018,National,nantes,paris,40.0,0.0,3.0,40.0,0.0,92.5,nantes:paris
2018-04,4,2018,National,paris,bordeaux-st-jean,57.0,15.0,2.0,42.0,26.32,95.2,paris:bordeaux-st-jean
2018-04,4,2018,National,tourcoing,marseille-st-charles,26.0,8.0,1.0,18.0,30.77,94.4,tourcoing:marseille-st-charles
2018-04,4,2018,National,marseille-st-charles,paris,447.0,124.0,28.0,323.0,27.74,91.3,marseille-st-charles:paris
2018-04,4,2018,National,paris,valence-alixan,415.0,178.0,27.0,237.0,42.89,88.6,paris:valence-alixan
2018-04,4,2018,National,perpignan,paris,186.0,86.0,24.0,100.0,46.24,76.0,perpignan:paris
2018-04,4,2018,International,barcelona,paris,43.0,18.0,5.0,25.0,41.86,80.0,barcelona:paris
2018-04,4,2018,International,italie,paris,92.0,39.0,26.0,53.0,42.39,50.9,italie:paris
2018-04,4,2018,International,marseille-st-charles,madrid,23.0,16.0,30.89532777978993,7.0,69.57,-341.4,marseille-st-charles:madrid
2018-04,4,2018,International,paris,stuttgart,147.0,15.0,19.0,132.0,10.2,85.6,paris:stuttgart
2018-04,4,2018,International,paris,lausanne,146.0,47.0,18.0,99.0,32.19,81.8,paris:lausanne
2018-04,4,2018,National,le-mans,paris,426.0,127.0,103.0,299.0,29.81,65.6,le-mans:paris
2018-04,4,2018,National,lyon,rennes,95.0,40.0,14.0,55.0,42.11,74.5,lyon:rennes
2018-04,4,2018,National,paris,angers-saint-laud,383.0,121.0,55.0,262.0,31.59,79.0,paris:angers-saint-laud
2018-04,4,2018,National,paris,angouleme,210.0,64.0,23.0,146.0,30.48,84.2,paris:angouleme
2018-04,4,2018,National,paris,bordeaux-st-jean,756.0,251.0,57.0,505.0,33.2,88.7,paris:bordeaux-st-jean
2018-04,4,2018,National,paris,st-pierre-des-corps,396.0,129.0,53.0,267.0,32.58,80.1,paris:st-pierre-des-corps
2018-04,4,2018,National,poitiers,paris,434.0,142.0,53.0,292.0,32.72,81.8,poitiers:paris
2018-04,4,2018,National,rennes,paris,687.0,258.0,133.0,429.0,37.55,69.0,rennes:paris
2018-04,4,2018,National,st-pierre-des-corps,paris,418.0,126.0,100.0,292.0,30.14,65.8,st-pierre-des-corps:paris
2018-04,4,2018,National,toulouse,paris,150.0,42.0,17.0,108.0,28.0,84.3,toulouse:paris
2018-04,4,2018,National,vannes,paris,264.0,91.0,41.0,173.0,34.47,76.3,vannes:paris
2018-04,4,2018,National,paris,strasbourg,521.0,122.0,44.0,399.0,23.42,89.0,paris:strasbourg
2018-04,4,2018,National,arras,paris,372.0,153.0,77.0,219.0,41.13,64.8,arras:paris
2018-04,4,2018,National,dunkerque,paris,211.0,76.0,17.0,135.0,36.02,87.4,dunkerque:paris
2018-04,4,2018,National,lille,paris,616.0,195.0,103.0,421.0,31.66,75.5,lille:paris
2018-04,4,2018,National,marseille-st-charles,lille,205.0,74.0,39.0,131.0,36.1,70.2,marseille-st-charles:lille
2018-04,4,2018,National,paris,dunkerque,231.0,87.0,25.0,144.0,37.66,82.6,paris:dunkerque
2018-04,4,2018,National,paris,lille,650.0,222.0,97.0,428.0,34.15,77.3,paris:lille
2018-04,4,2018,National,bordeaux-st-jean,tourcoing,27.0,11.0,1.0,16.0,40.74,93.8,bordeaux-st-jean:tourcoing
2018-04,4,2018,National,tourcoing,bordeaux-st-jean,27.0,10.0,4.0,17.0,37.04,76.5,tourcoing:bordeaux-st-jean
2018-04,4,2018,National,besancon-franche-comte,paris,204.0,61.0,13.0,143.0,29.9,90.9,besancon-franche-comte:paris
2018-04,4,2018,National,chambery-challes-les-eaux,paris,260.0,100.0,40.0,160.0,38.46,75.0,chambery-challes-les-eaux:paris
2018-04,4,2018,National,dijon-ville,paris,447.0,133.0,31.0,314.0,29.75,90.1,dijon-ville:paris
2018-04,4,2018,National,lyon,marne-la-vallee,333.0,128.0,54.0,205.0,38.44,73.7,lyon:marne-la-vallee
2018-04,4,2018,National,lyon,paris,658.0,152.0,47.0,506.0,23.1,90.7,lyon:paris
2018-04,4,2018,National,lyon,montpellier,301.0,121.0,43.0,180.0,40.2,76.1,lyon:montpellier
2018-04,4,2018,National,nice-ville,paris,262.0,103.0,17.0,159.0,39.31,89.3,nice-ville:paris
2018-04,4,2018,National,paris,annecy,194.0,68.0,15.0,126.0,35.05,88.1,paris:annecy
2018-04,4,2018,National,paris,grenoble,246.0,85.0,20.0,161.0,34.55,87.6,paris:grenoble
2018-04,4,2018,National,paris,toulon,329.0,139.0,28.0,190.0,42.25,85.3,paris:toulon
2018-04,4,2018,International,francfort,paris,167.0,33.0,24.0,134.0,19.76,82.1,francfort:paris
2018-04,4,2018,National,angers-saint-laud,paris,403.0,112.0,74.0,291.0,27.79,74.6,angers-saint-laud:paris
2018-04,4,2018,National,bordeaux-st-jean,paris,841.0,279.0,109.0,562.0,33.17,80.6,bordeaux-st-jean:paris
2018-04,4,2018,National,paris,la-rochelle-ville,202.0,53.0,14.0,149.0,26.24,90.6,paris:la-rochelle-ville
2018-04,4,2018,National,paris,st-malo,96.0,31.0,47.0,65.0,32.29,27.7,paris:st-malo
2018-04,4,2018,National,paris,toulouse,148.0,42.0,15.0,106.0,28.38,85.8,paris:toulouse
2018-04,4,2018,National,paris,vannes,251.0,84.0,36.0,167.0,33.47,78.4,paris:vannes
2018-04,4,2018,National,quimper,paris,245.0,82.0,23.0,163.0,33.47,85.9,quimper:paris
2018-04,4,2018,National,strasbourg,paris,498.0,85.0,55.0,413.0,17.07,86.7,strasbourg:paris
2018-04,4,2018,National,lille,marseille-st-charles,187.0,60.0,23.0,127.0,32.09,81.9,lille:marseille-st-charles
2018-04,4,2018,National,lyon,lille,325.0,128.0,50.0,197.0,39.38,74.6,lyon:lille
2018-04,4,2018,National,paris,douai,186.0,67.0,20.0,119.0,36.02,83.2,paris:douai
2018-04,4,2018,National,bellegarde-(ain),paris,231.0,85.0,10.0,146.0,36.8,93.2,bellegarde-(ain):paris
2018-04,4,2018,National,marne-la-vallee,lyon,369.0,126.0,30.0,243.0,34.15,87.7,marne-la-vallee:lyon
2018-04,4,2018,National,paris,macon-loche,208.0,60.0,10.0,148.0,28.85,93.2,paris:macon-loche
2018-04,4,2018,National,paris,nice-ville,253.0,100.0,21.0,153.0,39.53,86.3,paris:nice-ville
2018-04,4,2018,National,toulon,paris,342.0,134.0,21.0,208.0,39.18,89.9,toulon:paris
2018-04,4,2018,International,lausanne,paris,134.0,41.0,7.0,93.0,30.6,92.5,lausanne:paris
2018-04,4,2018,International,paris,zurich,143.0,42.0,15.0,101.0,29.37,85.1,paris:zurich
2018-04,4,2018,International,stuttgart,paris,143.0,15.0,21.0,128.0,10.49,83.6,stuttgart:paris
2018-05,5,2018,National,angers-saint-laud,paris,409.0,95.0,71.0,314.0,23.23,77.4,angers-saint-laud:paris
2018-05,5,2018,National,paris,angouleme,226.0,81.0,15.0,145.0,35.84,89.7,paris:angouleme
2018-05,5,2018,National,bordeaux-st-jean,paris,844.0,252.0,99.0,592.0,29.86,83.3,bordeaux-st-jean:paris
2018-05,5,2018,National,paris,laval,229.0,47.0,19.0,182.0,20.52,89.6,paris:laval
2018-05,5,2018,National,nantes,paris,532.0,136.0,71.0,396.0,25.56,82.1,nantes:paris
2018-05,5,2018,National,poitiers,paris,449.0,135.0,66.0,314.0,30.07,79.0,poitiers:paris
2018-05,5,2018,National,rennes,paris,614.0,200.0,89.0,414.0,32.57,78.5,rennes:paris
2018-05,5,2018,National,rennes,lyon,89.0,37.0,12.0,52.0,41.57,76.9,rennes:lyon
2018-05,5,2018,National,reims,paris,234.0,36.0,34.0,198.0,15.38,82.8,reims:paris
2018-05,5,2018,National,nantes,strasbourg,57.0,14.0,6.0,43.0,24.56,86.0,nantes:strasbourg
2018-05,5,2018,National,paris,douai,203.0,59.0,36.0,144.0,29.06,75.0,paris:douai
2018-05,5,2018,National,dunkerque,paris,232.0,76.0,27.0,156.0,32.76,82.7,dunkerque:paris
2018-05,5,2018,National,paris,bordeaux-st-jean,36.0,3.0,4.0,33.0,8.33,87.9,paris:bordeaux-st-jean
2018-05,5,2018,National,rennes,paris,19.0,0.0,2.0,19.0,0.0,89.5,rennes:paris
2018-05,5,2018,National,tourcoing,marseille-st-charles,19.0,3.0,0.0,16.0,15.79,100.0,tourcoing:marseille-st-charles
2018-05,5,2018,National,lyon,marne-la-vallee,308.0,92.0,57.0,216.0,29.87,73.6,lyon:marne-la-vallee
2018-05,5,2018,National,marseille-st-charles,marne-la-vallee,314.0,55.0,47.0,259.0,17.52,81.9,marseille-st-charles:marne-la-vallee
2018-05,5,2018,National,aix-en-provence,paris,410.0,60.0,52.0,350.0,14.63,85.1,aix-en-provence:paris
2018-05,5,2018,National,annecy,paris,180.0,63.0,25.0,117.0,35.0,78.6,annecy:paris
2018-05,5,2018,National,avignon,paris,573.0,75.0,85.0,498.0,13.09,82.9,avignon:paris
