date,month,year,axis,origin,destination,number_of_trains_scheduled,number_of_train_canceled,trains_late_at_destination,number_of_trains_actual,percentage_trains_canceled,reliability,line
2020-03,3,2020,Intercites,latour-de-carol,paris,13.0,1.0,0.0,12.0,7.69,100.0,latour-de-carol:paris
2020-05,5,2020,Intercites,paris,clermont-ferrand,74.0,0.0,9.0,74.0,0.0,87.8,paris:clermont-ferrand
2020-05,5,2020,Intercites,bordeaux-st-jean,nantes,32.0,0.0,1.0,32.0,0.0,96.9,bordeaux-st-jean:nantes
2020-05,5,2020,Intercites,nantes,bordeaux-st-jean,32.0,0.0,3.0,32.0,0.0,90.6,nantes:bordeaux-st-jean
2020-06,6,2020,Intercites,clermont-ferrand,paris,122.0,0.0,12.0,122.0,0.0,90.2,clermont-ferrand:paris
2020-06,6,2020,Intercites,paris,clermont-ferrand,121.0,0.0,13.0,121.0,0.0,89.3,paris:clermont-ferrand
2020-06,6,2020,Intercites,bordeaux-st-jean,nantes,66.0,0.0,2.0,66.0,0.0,97.0,bordeaux-st-jean:nantes
2020-06,6,2020,Intercites,toulouse,hendaye,72.0,0.0,13.0,72.0,0.0,81.9,toulouse:bayonne
2020-06,6,2020,Intercites,bordeaux-st-jean,marseille-st-charles,138.0,2.0,39.0,136.0,1.45,71.3,bordeaux-st-jean:marseille-st-charles
2020-06,6,2020,Intercites,paris,brive,75.0,7.0,20.0,68.0,9.33,70.6,paris:brive
2020-07,7,2020,Intercites,hendaye,toulouse,121.0,3.0,22.0,118.0,2.48,81.4,bayonne:toulouse
2020-07,7,2020,Intercites,bordeaux-st-jean,marseille-st-charles,213.0,7.0,79.0,206.0,3.29,61.7,bordeaux-st-jean:marseille-st-charles
2018-01,1,2018,Intercites,paris,caen,254.0,11.0,42.0,243.0,4.33,82.7,paris:caen
2018-01,1,2018,Intercites,paris,trouville-deauville,78.0,3.0,23.0,75.0,3.85,69.3,paris:trouville-deauville
2018-01,1,2018,Intercites,maubeuge,paris,183.0,9.0,22.0,174.0,4.92,87.4,maubeuge:paris
2018-01,1,2018,Intercites,paris,maubeuge/cambrai,174.0,5.0,27.0,169.0,2.87,84.0,paris:maubeuge/cambrai
2018-01,1,2018,Intercites,bayonne,toulouse,28.0,0.0,4.0,28.0,0.0,85.7,bayonne:toulouse
2018-01,1,2018,Intercites,toulouse,bayonne,28.0,0.0,4.0,28.0,0.0,85.7,toulouse:bayonne
2018-01,1,2018,Intercites,brive,paris,215.0,2.0,20.0,213.0,0.93,90.6,brive:paris
2018-01,1,2018,Intercites,paris,toulouse,88.0,0.0,3.0,88.0,0.0,96.6,paris:toulouse
2018-01,1,2018,Intercites,toulouse,paris,88.0,0.0,22.0,88.0,0.0,75.0,toulouse:paris
2018-01,1,2018,Intercites,paris,toulouse,29.0,0.0,5.0,29.0,0.0,82.8,paris:toulouse
2018-01,1,2018,Intercites,paris,latour-de-carol,29.0,2.0,1.0,27.0,6.9,96.3,paris:latour-de-carol
2018-01,1,2018,Intercites,latour-de-carol,paris,30.0,0.0,3.0,30.0,0.0,90.0,latour-de-carol:paris
2018-02,2,2018,Intercites,paris,rouen-rive-droite,259.0,15.0,45.0,244.0,5.79,81.6,paris:rouen-rive-droite
2018-02,2,2018,Intercites,clermont-ferrand,paris,211.0,3.0,23.0,208.0,1.42,88.9,clermont-ferrand:paris
2018-02,2,2018,Intercites,clermont-ferrand,beziers,56.0,0.0,6.0,56.0,0.0,89.3,clermont-ferrand:beziers
2018-02,2,2018,Intercites,nantes,bordeaux-st-jean,84.0,0.0,11.0,84.0,0.0,86.9,nantes:bordeaux-st-jean
2018-02,2,2018,Intercites,bayonne,toulouse,88.0,6.0,15.0,82.0,6.82,81.7,bayonne:toulouse
2018-02,2,2018,Intercites,paris,brive,178.0,6.0,31.0,172.0,3.37,82.0,paris:brive
2018-02,2,2018,Intercites,toulouse,paris,81.0,1.0,30.0,80.0,1.23,62.5,toulouse:paris
2018-03,3,2018,Intercites,amiens,paris,229.0,0.0,43.0,229.0,0.0,81.2,amiens:paris
2018-03,3,2018,Intercites,caen,paris,214.0,2.0,30.0,212.0,0.93,85.8,caen:paris
2018-03,3,2018,Intercites,paris,rouen-rive-droite,310.0,7.0,24.0,303.0,2.26,92.1,paris:rouen-rive-droite
2018-03,3,2018,Intercites,beziers,clermont-ferrand,60.0,0.0,4.0,60.0,0.0,93.3,beziers:clermont-ferrand
2018-03,3,2018,Intercites,bayonne,toulouse,118.0,2.0,15.0,116.0,1.69,87.1,bayonne:toulouse
2018-03,3,2018,Intercites,marseille-st-charles,bordeaux-st-jean,226.0,7.0,64.0,219.0,3.1,70.8,marseille-st-charles:bordeaux-st-jean
2018-03,3,2018,Intercites,brive,paris,245.0,1.0,9.0,244.0,0.41,96.3,brive:paris
2018-03,3,2018,Intercites,toulouse,paris,27.0,1.0,2.0,26.0,3.7,92.3,toulouse:paris
2018-03,3,2018,Intercites,albi,paris,5.0,1.0,1.0,4.0,20.0,75.0,albi:paris
2018-03,3,2018,Intercites,paris,latour-de-carol,27.0,6.0,1.0,21.0,22.22,95.2,paris:latour-de-carol
2018-03,3,2018,Intercites,latour-de-carol,paris,27.0,1.0,2.0,26.0,3.7,92.3,latour-de-carol:paris
2018-04,4,2018,Intercites,st-quentin,paris,80.0,0.0,11.0,80.0,0.0,86.2,st-quentin:paris
2018-04,4,2018,Intercites,caen,paris,134.0,1.0,20.0,133.0,0.75,85.0,caen:paris
2018-04,4,2018,Intercites,le-havre,paris,206.0,1.0,83.0,205.0,0.49,59.5,le-havre:paris
2018-04,4,2018,Intercites,paris,le-havre,200.0,0.0,57.0,200.0,0.0,71.5,paris:le-havre
2018-04,4,2018,Intercites,boulogne,paris,91.0,2.0,13.0,89.0,2.2,85.4,boulogne:paris
2018-04,4,2018,Intercites,cherbourg,paris,132.0,0.0,47.0,132.0,0.0,64.4,cherbourg:paris
2018-04,4,2018,Intercites,nantes,bordeaux-st-jean,58.0,0.0,8.0,58.0,0.0,86.2,nantes:bordeaux-st-jean
2018-04,4,2018,Intercites,brive,paris,112.0,1.0,12.0,111.0,0.89,89.2,brive:paris
2018-04,4,2018,Intercites,paris,toulouse,56.0,1.0,11.0,55.0,1.79,80.0,paris:toulouse
2018-04,4,2018,Intercites,paris,toulouse,11.0,0.0,1.0,11.0,0.0,90.9,paris:toulouse
2018-04,4,2018,Intercites,paris,albi,5.0,0.0,0.0,5.0,0.0,100.0,paris:albi
2018-05,5,2018,Intercites,amiens,paris,161.0,2.0,44.0,159.0,1.24,72.3,amiens:paris
2018-05,5,2018,Intercites,paris,rouen-rive-droite,100.0,0.0,14.0,100.0,0.0,86.0,paris:rouen-rive-droite
2018-05,5,2018,Intercites,paris,cherbourg,122.0,0.0,35.0,122.0,0.0,71.3,paris:cherbourg
2018-05,5,2018,Intercites,paris,granville,125.0,2.0,7.0,123.0,1.6,94.3,paris:granville
