ID;Date;Axe;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard;empty
INT_4_A;2017-04;Paris Centre Sud;PARIS-AUSTERLITZ;ORLÉANS;331;325;6;82;74.8;3.0;PARIS-AUSTERLITZ:ORLÉANS
INT_6_A;2017-04;Normandie;PARIS-ST-LAZARE;CAEN;209;209;0;17;91.9;11.3;PARIS-ST-LAZARE:CAEN
INT_21_A;2017-04;Paris Centre Sud;CLERMONT-FERRAND;PARIS-BERCY;227;224;3;34;84.8;5.6;CLERMONT-FERRAND:PARIS-BERCY
INT_11_B;2017-04;Paris Centre Sud;PARIS-BERCY;CLERMONT-FERRAND;222;221;1;28;87.3;6.9;PARIS-BERCY:CLERMONT-FERRAND
INT_23_A;2017-04;Paris Centre Sud;CLERMONT-FERRAND;NÎMES;30;30;0;0;100.0;0.0;CLERMONT-FERRAND:NÎMES
INT_12_B;2017-04;Méditerranée Atlantique;NANTES;LYON-PART-DIEU;62;62;0;4;93.5;14.5;NANTES:LYON-PART-DIEU
INT_24_B;2017-04;Paris Centre Sud;PARIS-AUSTERLITZ;LIMOGES;64;64;0;11;82.8;4.8;PARIS-AUSTERLITZ:LIMOGES
INT_26_B;2017-04;Paris Centre Sud;BRIVE/CAHORS;PARIS-AUSTERLITZ;145;144;1;18;87.5;7.0;BRIVE/CAHORS:PARIS-AUSTERLITZ
INT_28_B;2017-04;Paris Centre Sud;TOULOUSE-MATABIAU/RODEZ;PARIS-AUSTERLITZ;53;53;0;2;96.2;25.5;TOULOUSE-MATABIAU/RODEZ:PARIS-AUSTERLITZ
INT_32_A;2017-04;Paris Centre Sud;BRIANÇON/NICE-VILLE;PARIS-AUSTERLITZ;39;38;1;7;81.6;4.4;BRIANÇON/NICE-VILLE:PARIS-AUSTERLITZ
INT_3_A;2017-05;Paris Centre Sud;ORLÉANS;PARIS-AUSTERLITZ;325;319;6;79;75.2;3.0;ORLÉANS:PARIS-AUSTERLITZ
INT_6_A;2017-05;Normandie;PARIS-ST-LAZARE;CAEN;220;219;1;33;84.9;5.6;PARIS-ST-LAZARE:CAEN
